batch,trial,file,track_id,view_png,reason,total_obs_count,peak_z_smoothed,net_drop_from_peak,avg_descent_speed,recent_velocity,recent_accel,z_max_ever,z_min_ever,avg_pts,max_pts,rebound_penalized,suggested_label,suggested_note,label,label_note
covered,1,record_raw_20260728_154042.json,2,covered/trial1_view.png,freefall 3f  accel=-7.4m/s²  v=-1.48m/s,3,-0.2552,0.1909,0.6364,-1.4815,-11.1356,-0.2553,-0.477,7.0,13,False,,,0,
covered,3,record_raw_20260728_154137.json,2,covered/trial3_view.png,freefall 3f  accel=-13.1m/s²  v=-2.71m/s,3,0.2357,0.3884,1.9418,-2.7133,-13.1083,0.2358,-0.1758,8.6667,12,False,,,1,
covered,5,record_raw_20260728_154201.json,4,covered/trial5_view.png,freefall 4f  accel=-11.0m/s²  v=-3.30m/s,4,0.2931,0.4888,1.6292,-3.3037,-21.9099,0.2932,-0.2595,13.75,31,False,,,1,
covered,7,record_raw_20260728_172428.json,2,covered/trial7_view.png,freefall 3f  accel=-17.8m/s²  v=-3.63m/s,4,0.3007,0.7448,2.4828,-3.6283,-17.8133,0.3007,-0.4863,7.0,10,False,1,"가속도 -17.8 다소 크지만 궤적 자체는 깔끔, 확정 직후 소실",1,
covered,11,record_raw_20260730_143540.json,1,covered/trial11_view.png,freefall 3f  accel=-8.1m/s²  v=-0.64m/s,3,0.5217,0.0506,0.5063,-0.6422,-8.0722,0.522,0.4578,7.0,9,False,,,1,
covered,12,record_raw_20260730_143550.json,3,covered/trial12_view.png,freefall 3f  accel=-7.8m/s²  v=-1.19m/s,5,0.5427,0.0655,0.6555,-1.1914,-11.6393,0.5335,0.4089,5.2,14,False,0,확정 후 지속 관측되며 원래 높이 이상으로 회복 — 지속형 노이즈로 재평가됨,0,
covered,12,record_raw_20260730_143550.json,1,covered/trial12_view.png,freefall 3f  accel=-8.0m/s²  v=-1.66m/s,8,0.1111,0.0951,0.1056,-1.6633,-16.0694,0.1143,-0.069,3.625,4,False,0,"1초+ 정지 후 단발 노이즈 딥, 확정 직후 원래 높이 이상으로 반등",0,
covered,14,record_raw_20260730_143612.json,1,covered/trial14_view.png,freefall 3f  accel=-17.0m/s²  v=-1.13m/s,9,0.4508,0.0295,0.295,-1.1262,-16.9695,0.4856,0.3729,7.1111,19,False,,,0,
uncovered,1,record_raw_20260728_155515.json,1,uncovered/trial1_view.png,freefall 3f  accel=-7.4m/s²  v=-0.83m/s,3,-0.5149,0.0795,0.3973,-0.8267,-7.3667,-0.515,-0.6067,2.3333,3,False,0,"시작부터 바닥 아래(-0.5m)에서 시작, 확정 직후 최대 +0.36m 반등 지속",0,
uncovered,1,record_raw_20260728_155515.json,2,uncovered/trial1_view.png,freefall 4f  accel=-11.3m/s²  v=-3.42m/s,4,0.3059,0.5127,1.709,-3.42,-22.2086,0.306,-0.2722,7.0,10,False,1,"0.3초 만에 0.58m 순하강, 확정 직후 소실(착지)",1,
uncovered,3,record_raw_20260728_155539.json,4,uncovered/trial3_view.png,freefall 3f  accel=-3.3m/s²  v=-1.10m/s,3,0.3269,0.1801,0.9006,-1.0993,-3.3357,0.327,0.1405,6.0,8,False,,,1,
drop_test_20260715_baseline,1,record_20260715_160239.json,7,drop_test_20260715_baseline/trial1_view.png,freefall 3f  accel=-8.8m/s²  v=-1.43m/s,3,-0.4534,0.0848,0.8484,-1.433,-17.6122,-0.4532,-0.5965,6.6667,12,False,,,0,
drop_test_20260715_baseline,2,record_20260715_160252.json,2,drop_test_20260715_baseline/trial2_view.png,peak=0.47m  descent=2f  drop=1.04m  avg_v=3.46m/s,3,0.4746,1.0391,3.4637,-1.8333,21.6,0.4747,-0.5073,7.6667,15,False,,,1,
drop_test_20260715_baseline,2,record_20260715_160252.json,7,drop_test_20260715_baseline/trial2_view.png,freefall 3f  accel=-5.0m/s²  v=-0.57m/s,3,-0.5668,0.1338,0.4461,-0.5695,-12.4381,-0.5661,-0.737,4.6667,7,False,,,0,
drop_test_20260715_baseline,3,record_20260715_160303.json,4,drop_test_20260715_baseline/trial3_view.png,peak=0.37m  descent=2f  drop=0.89m  avg_v=4.45m/s,3,0.3721,0.8905,4.4525,-5.8588,-23.8158,0.3722,-0.5615,14.0,22,False,,,1,
drop_test_20260715_baseline,3,record_20260715_160303.json,3,drop_test_20260715_baseline/trial3_view.png,freefall 3f  accel=-7.3m/s²  v=-1.58m/s,3,-0.4678,0.0912,0.9115,-1.5751,-18.2284,-0.4677,-0.6252,11.3333,22,False,,,0,
drop_test_20260715_baseline,5,record_20260715_160326.json,1,drop_test_20260715_baseline/trial5_view.png,peak=0.48m  descent=2f  drop=0.73m  avg_v=3.65m/s,3,0.4754,0.7295,3.6477,-2.9199,12.8474,0.4755,-0.2369,17.3333,27,False,,,1,
drop_test_20260715_baseline,5,record_20260715_160326.json,3,drop_test_20260715_baseline/trial5_view.png,freefall 3f  accel=-10.8m/s²  v=-1.83m/s,3,-0.2758,0.2978,1.4889,-1.8286,-21.5436,-0.2755,-0.6412,12.6667,22,False,,,0,
drop_test_20260715_mindescent2_adaptivejump,1,record_20260715_164333.json,2,drop_test_20260715_mindescent2_adaptivejump/trial1_view.png,peak=0.49m  descent=2f  drop=0.39m  avg_v=1.97m/s,3,0.4914,0.3949,1.9746,-2.4085,-7.2895,0.4915,0.0827,12.0,23,False,,,1,
drop_test_20260715_mindescent2_adaptivejump,1,record_20260715_164333.json,4,drop_test_20260715_mindescent2_adaptivejump/trial1_view.png,peak=0.44m  descent=2f  drop=0.91m  avg_v=3.04m/s,3,0.4366,0.913,3.0434,-3.756,-18.5933,0.4367,-0.5042,5.6667,6,False,,,,
drop_test_20260715_mindescent2_adaptivejump,1,record_20260715_164333.json,1,drop_test_20260715_mindescent2_adaptivejump/trial1_view.png,freefall 3f  accel=-5.5m/s²  v=-0.63m/s,8,-0.221,0.4549,0.7582,-0.6308,-8.1842,-0.2255,-0.7503,12.75,32,False,,,0,
drop_test_20260715_mindescent2_adaptivejump,2,record_20260715_164408.json,1,drop_test_20260715_mindescent2_adaptivejump/trial2_view.png,peak=0.48m  descent=2f  drop=0.71m  avg_v=3.53m/s,3,0.4831,0.7067,3.5333,-3.0439,8.735,0.4832,-0.213,17.3333,25,False,,,1,
drop_test_20260715_mindescent2_adaptivejump,2,record_20260715_164408.json,4,drop_test_20260715_mindescent2_adaptivejump/trial2_view.png,freefall 3f  accel=-12.4m/s²  v=-1.36m/s,5,-0.6419,0.0818,0.8184,-1.3583,-12.382,-0.6308,-0.7787,14.4,25,False,,,0,
drop_test_20260715_mindescent2_adaptivejump,3,record_20260715_164436.json,9,drop_test_20260715_mindescent2_adaptivejump/trial3_view.png,freefall 3f  accel=-3.5m/s²  v=-0.87m/s,5,-0.4676,0.2406,0.401,-0.8675,-5.245,-0.4677,-0.7437,13.2,21,False,,,0,
